[['', 'A', 'B', 'C'], 'CD']     could not be checked
[['', 'A', 'AB', 'AB'], 'AB']     could not be checked
[['', '', 'AB', 'C'], 'A']     could not be checked
[['', '', 'AB', 'A'], 'AB']     could not be checked
[['', 'A', 'AB', 'AB'], 'CD']     could not be checked
[['', '', 'AB', 'A'], 'CD']     could not be checked
[['', 'A', 'B', 'A'], '']     could not be checked
[['', 'A', 'B', 'A'], 'AD']     could not be checked
[['', '', 'AB', ''], 'ABC']     could not be checked
[['', '', 'AB', 'AB'], 'AC']     could not be checked
[['', 'A', 'AB', 'BC'], 'A']     could not be checked
[['', 'A', 'AB', 'B'], 'D']     could not be checked
[['', 'A', 'AB', 'BC'], 'BD']     could not be checked
[['', 'A', 'A', 'A'], 'BC']     could not be checked
[['', 'A', 'A', 'A'], 'ABCD']     could not be checked
[['', 'A', 'AB', 'AB'], 'ABC']     could not be checked
[['', '', 'AB', 'A'], 'ABC']     could not be checked
[['', 'A', 'AB', 'B'], 'AB']     could not be checked
[['', 'A', 'AB', 'BC'], 'AC']     could not be checked
[['', 'A', 'AB', 'B'], 'CD']     could not be checked
[['', 'A', 'A', 'A'], 'A']     could not be checked
[['', '', 'B', 'A'], 'BC']     could not be checked
[['', '', 'B', 'A'], 'ABCD']     could not be checked
[['', 'A', 'AB', 'AB'], 'B']     could not be checked
[['', '', 'AB', 'A'], 'B']     could not be checked
[['', 'A', 'B', 'BC'], 'AC']     could not be checked
[['', '', '', 'ABC'], 'ABCD']     could not be checked
[['', 'A', 'B', 'BC'], 'BCD']     could not be checked
[['', 'A', 'AB', 'C'], 'BCD']     could not be checked
[['', 'A', 'AB', 'B'], 'ABC']     could not be checked
[['', 'A', 'A', 'A'], 'BCD']     could not be checked
[['', '', 'B', 'A'], 'A']     could not be checked
[['', 'A', 'B', 'ABC'], 'AC']     could not be checked
[['', 'A', 'B', 'ABC'], 'BCD']     could not be checked
[['', 'A', 'A', 'BC'], 'ABD']     could not be checked
[['', '', '', 'ABC'], 'A']     could not be checked
[['', 'A', 'AB', 'ABC'], 'AB']     could not be checked
[['', 'A', 'B', 'BC'], '']     could not be checked
